vrstni_red,albumi,leta,avtorji,podzvrsti,ocene,st_glasov
45.,Obsolete,(1998),Fear Factory,Industrial,8.21,353
46.,Internal Punishment Programs,(2004),Red Harvest,Industrial,8.20,20
47.,Absolute Dissent,(2010),Killing Joke,Industrial,8.20,56
48.,Xtort,(1996),KMFDM,Industrial,8.20,35
49.,Angst,(1993),KMFDM,Industrial,8.19,43
50.,Cleansing,(1994),Prong,Industrial,8.19,90
51.,"Reise, Reise",(2004),Rammstein,Industrial,8.18,623
52.,Slave Design,(2004),Sybreed,Industrial,8.18,51
53.,Rebirth,(2000),Pain,Industrial,8.18,100
54.,Odium,(1993),Morgoth,Industrial,8.17,54
55.,Die H&ouml;lle Muss Warten,(2012),Eisbrecher,Industrial,8.17,23
56.,Electric Tears,(2002),Buckethead,Industrial,8.17,29
57.,Killing Joke,(1980),Killing Joke,Industrial,8.17,52
58.,Us And Them,(1999),Godflesh,Industrial,8.15,34
59.,Ratocracy,(2014),Arsafes,Industrial,8.15,33
60.,Confusion Bay,(2004),Raunchy,Industrial,8.15,39
61.,Mechanize,(2010),Fear Factory,Industrial,8.14,376
62.,S&uuml;nde,(2008),Eisbrecher,Industrial,8.13,23
63.,L&#039;Hymne &Agrave; La Joie,(2007),The CNK,Industrial,8.13,30
64.,Herzeleid,(1995),Rammstein,Industrial,8.12,486
65.,Strapping Young Lad,(2003),Strapping Young Lad,Industrial,8.12,234
66.,Houses Of The Mol&eacute;,(2004),Ministry,Industrial,8.10,88
67.,Passion,(2011),Anaal Nathrakh,Industrial,8.08,187
68.,Nothing Remains The Same,(2002),Pain,Industrial,8.08,110
69.,The Decipher Volumes,(2013),Neurotech,Industrial,8.07,89
70.,777 - Cosmosophy,(2012),Blut Aus Nord,Industrial,8.06,140
71.,Dancing With The Dead,(2005),Pain,Industrial,8.05,109
72.,The Last Sucker,(2007),Ministry,Industrial,8.04,107
73.,Hymns,(2001),Godflesh,Industrial,8.03,40
74.,Eternal,(1999),Samael,Industrial,8.01,151
1.,Ashes Against The Grain,(2006),Agalloch,Black,9.12,1214
2.,The Mantle,(2002),Agalloch,Black,9.12,1284
3.,Stronghold,(1999),Summoning,Black,8.96,443
4.,Storm Of The Light&#039;s Bane,(1995),Dissection,Black,8.95,825
5.,Anthems To The Welkin At Dusk,(1997),Emperor,Black,8.93,761
6.,Griseus,(2011),Aquilus,Black,8.91,197
7.,Don&#039;t Break The Oath,(1984),Mercyful Fate,Black,8.88,494
8.,Emergence,(2014),Shylmagoghnar,Black,8.88,33
9.,To The Nameless Dead,(2007),Primordial,Black,8.88,537
10.,Melissa,(1983),Mercyful Fate,Black,8.87,486
11.,At The Heart Of Winter,(1999),Immortal,Black,8.87,818
12.,Wolfheart,(1995),Moonspell,Black,8.87,677
13.,1184,(2001),Windir,Black,8.86,377
14.,In The Nightside Eclipse,(1994),Emperor,Black,8.84,782
15.,Hammerheart,(1990),Bathory,Black,8.83,521
16.,V - Halmstad,(2007),Shining,Black,8.83,357
17.,Stygian Forces Of Scorn,(2009),Varathron,Black,8.83,23
18.,Martwa Polska Jesie&#324;,(2007),Furia (POL),Black,8.83,23
19.,...Doedskvad,(2005),Taake,Black,8.82,149
