vrstni_red,albumi,leta,avtorji,podzvrsti,ocene,st_glasov
28.,Someplace Else,(2005),ShamRain,Gothic,8.62,39
29.,Triarchy Of The Lost Lovers,(1996),Rotting Christ,Gothic,8.60,229
30.,Bloody Kisses,(1993),Type O Negative,Gothic,8.60,384
31.,Burning: A Wish,(2001),Lacrimas Profundere,Gothic,8.60,96
32.,Headstones,(1995),Lake Of Tears,Gothic,8.59,133
33.,Elegant...And Dying,(2003),Virgin Black,Gothic,8.59,147
34.,At Sixes And Sevens,(2002),Sirenia,Gothic,8.57,296
35.,Decipher,(2001),After Forever,Gothic,8.57,295
36.,Seclusion,(2003),Penumbra,Gothic,8.56,87
37.,My Darkness,(2003),Before The Dawn,Gothic,8.55,105
38.,The Deathship Has A New Captain,(2004),The Vision Bleak,Gothic,8.55,93
39.,The Acoustic Verses,(2006),Green Carnation,Gothic,8.55,242
40.,Inferno,(1995),Lacrimosa,Gothic,8.54,99
41.,Night Eternal,(2008),Moonspell,Gothic,8.54,664
42.,Evershade,(2003),Yearning,Gothic,8.53,49
43.,Saviour Machine I,(1993),Saviour Machine,Gothic,8.53,49
44.,La Naissance D&#039;Un R&ecirc;ve,(1997),Lacrimas Profundere,Gothic,8.53,60
45.,Seasons,(1996),Evereve,Gothic,8.52,31
46.,Goodbye To All That,(2007),ShamRain,Gothic,8.52,31
47.,The Darkness,(2006),Dawn Of Solace,Gothic,8.51,51
48.,Sombre Romantic,(2001),Virgin Black,Gothic,8.51,159
49.,Carpathia - A Dramatic Poem,(2005),The Vision Bleak,Gothic,8.51,90
50.,Cruelty And The Beast,(1998),Cradle Of Filth,Gothic,8.51,633
51.,Ukryty Wymiar,(1997),Artrosis,Gothic,8.50,24
52.,Blessed Be,(2000),The 69 Eyes,Gothic,8.50,88
53.,Quicksilver Clouds,(2004),Throes Of Dawn,Gothic,8.48,54
54.,Lichtgestalt,(2005),Lacrimosa,Gothic,8.47,118
55.,Theatre Of Tragedy,(1995),Theatre Of Tragedy,Gothic,8.47,208
56.,Mourning Sun,(2005),Fields Of The Nephilim,Gothic,8.46,71
57.,Deadlight,(2007),Before The Dawn,Gothic,8.45,150
58.,The Last Bewitchment,(2002),Penumbra,Gothic,8.45,71
59.,Cold Comfort,(2010),Painted Black,Gothic,8.44,25
60.,Undressed Momento,(2003),Klimt 1918,Gothic,8.43,42
61.,Engraved In Black,(2003),Graveworm,Gothic,8.43,173
62.,A New Dimension Of Might,(2002),Trail Of Tears,Gothic,8.43,90
63.,The Wolves Go Hunt Their Prey,(2007),The Vision Bleak,Gothic,8.43,89
64.,Swallow,(1998),Heavenwood,Gothic,8.43,63
65.,Requiem - Fortissimo,(2008),Virgin Black,Gothic,8.41,151
66.,I Have Lost...,(2005),Mortal Love,Gothic,8.40,35
67.,The Plague Within,(2015),Paradise Lost,Gothic,8.40,427
68.,A Crimson Cosmos,(1997),Lake Of Tears,Gothic,8.39,114
69.,Midian,(2000),Cradle Of Filth,Gothic,8.39,675
70.,Fassade,(2001),Lacrimosa,Gothic,8.39,107
71.,Faith Divides Us - Death Unites Us,(2009),Paradise Lost,Gothic,8.38,479
72.,Second World,(2012),The Foreshadowing,Gothic,8.38,186
73.,4:17 Am,(2004),Before The Dawn,Gothic,8.38,106
74.,Extinct,(2015),Moonspell,Gothic,8.37,415
75.,A Blessing In Disguise,(2003),Green Carnation,Gothic,8.37,170
76.,Diving Into Darkness,(2000),Darkseed,Gothic,8.36,61
77.,A Dead Poem,(1997),Rotting Christ,Gothic,8.36,231
78.,Praises To The War Machine,(2008),Warrel Dane,Gothic,8.36,163
79.,Oionos,(2010),The Foreshadowing,Gothic,8.36,151
80.,Memorial,(2006),Moonspell,Gothic,8.36,477
81.,Merging Into Landscapes,(2007),Yearning,Gothic,8.35,40
82.,Opus IV Oblivion,(2015),Weeping Silence,Gothic,8.35,60
83.,Mere Contemplations,(2007),Enslavement Of Beauty,Gothic,8.35,20
84.,Jade,(2000),Flowing Tears,Gothic,8.34,47
85.,Gothic,(1991),Paradise Lost,Gothic,8.34,386
86.,Prison Of Desire,(2000),After Forever,Gothic,8.33,243
87.,Echos,(2003),Lacrimosa,Gothic,8.33,104
88.,"Seven Heads, Ten Horns",(2016),The Foreshadowing,Gothic,8.32,68
89.,"Sleep Now, Quiet Forest",(2008),Todesbonden,Gothic,8.32,40
90.,Mother Earth,(2000),Within Temptation,Gothic,8.32,508
91.,World Of Glass,(2001),Tristania,Gothic,8.31,300
92.,Genesis,(2002),Rotting Christ,Gothic,8.31,208
93.,In Requiem,(2007),Paradise Lost,Gothic,8.31,472
94.,Mercury,(1999),Madder Mortem,Gothic,8.31,26
95.,Saviour Machine II,(1994),Saviour Machine,Gothic,8.30,23
96.,Orama,(1997),On Thorns I Lay,Gothic,8.30,33
97.,Bloodstained Endurance,(2009),Trail Of Tears,Gothic,8.30,105
98.,The Antidote,(2003),Moonspell,Gothic,8.30,387
99.,Ultimate Darkness,(2005),Darkseed,Gothic,8.29,66
100.,One Way Out,(2011),Ravenscry,Gothic,8.29,21
1.,Salvation,(2004),Cult Of Luna,Sludge,8.66,168
2.,When The Kite String Pops,(1994),Acid Bath,Sludge,8.61,152
3.,(A) Senile Animal,(2006),Melvins,Sludge,8.60,35
4.,Leviathan,(2004),Mastodon,Sludge,8.59,727
5.,Through Silver In Blood,(1996),Neurosis,Sludge,8.59,187
6.,Nola,(1995),Down,Sludge,8.58,294
7.,Somewhere Along The Highway,(2006),Cult Of Luna,Sludge,8.57,174
8.,The Galilean Satellites,(2005),Rosetta,Sludge,8.57,60
9.,Precambrian,(2007),The Ocean,Sludge,8.56,159
10.,Sonic Excess In Its Purest Form,(2001),Crowbar,Sludge,8.54,46
11.,Times Of Grace,(1999),Neurosis,Sludge,8.53,135
12.,Static Tensions,(2009),Kylesa,Sludge,8.53,139
13.,Death Is This Communion,(2007),High On Fire,Sludge,8.52,152
14.,Wake / Lift,(2007),Rosetta,Sludge,8.51,61
15.,Pelagial,(2013),The Ocean,Sludge,8.51,263
16.,Crowbar,(1993),Crowbar,Sludge,8.49,49
17.,A Sun That Never Sets,(2001),Neurosis,Sludge,8.48,126
18.,The Eye Of Every Storm,(2004),Neurosis,Sludge,8.45,148
19.,Elysian Magnetic Fields,(2011),Dirge,Sludge,8.45,47
20.,Void Mother,(2013),Obscure Sphinx,Sludge,8.44,149
21.,Paegan Terrorism Tactics,(1996),Acid Bath,Sludge,8.44,101
22.,Mariner [Collaboration],(2016),Cult Of Luna,Sludge,8.43,77
23.,The Ties That Blind,(2006),Mouth Of The Architect,Sludge,8.42,26
24.,Blessed Black Wings,(2005),High On Fire,Sludge,8.42,101
25.,Hatred For Mankind,(2009),Dragged Into Sunlight,Sludge,8.41,54
26.,Anaesthetic Inhalation Ritual,(2011),Obscure Sphinx,Sludge,8.41,56
27.,Ausserwelt,(2010),Year Of No Light,Sludge,8.41,56
28.,Satan Worshipping Doom,(2010),Bongripper,Sludge,8.41,29
29.,Blood Mountain,(2006),Mastodon,Sludge,8.41,718
30.,Black Pyramid,(2009),Black Pyramid,Sludge,8.38,21
31.,Descent,(2014),Moanaa,Sludge,8.37,35
32.,Houdini,(1993),Melvins,Sludge,8.36,56
33.,Odd Fellows Rest,(1998),Crowbar,Sludge,8.36,50
34.,Blue Record,(2009),Baroness,Sludge,8.36,258
35.,More Constant Than The Gods,(2013),Subrosa,Sludge,8.33,81
36.,Samaroid Dioramas,(2012),Sunpocrisy,Sludge,8.33,48
37.,Red Album,(2007),Baroness,Sludge,8.32,199
38.,Suffocating In The Swarm Of Cranes,(2012),Downfall Of Gaia,Sludge,8.32,25
39.,Gastronomicon,(2014),Slugdge,Sludge,8.32,80
40.,Lazarus Bird,(2008),Burst,Sludge,8.31,71
41.,Souls At Zero,(1992),Neurosis,Sludge,8.30,93
42.,Valley Of Smoke,(2010),Intronaut,Sludge,8.29,82
43.,Eternal Kingdom,(2008),Cult Of Luna,Sludge,8.28,141
44.,Quiet Earth,(2008),Bison B.C.,Sludge,8.26,27
45.,No Help For The Mighty Ones,(2011),Subrosa,Sludge,8.25,71
46.,Spiral Shadow,(2010),Kylesa,Sludge,8.23,115
47.,Vertikal,(2013),Cult Of Luna,Sludge,8.22,197
48.,Pervertor,(2012),Lord Mantis,Sludge,8.22,41
49.,A Determinism Of Morality,(2010),Rosetta,Sludge,8.19,70
50.,Fluxion,(2004),The Ocean,Sludge,8.19,62
51.,The Sum Of All Fossils,(2011),Flourishing,Sludge,8.17,30
52.,Dim & Slimeridden Kingdoms,(2015),Slugdge,Sludge,8.17,60
53.,Ritual Abuse,(2010),Cough,Sludge,8.15,20
54.,Anthropocentric,(2010),The Ocean,Sludge,8.15,116
55.,De Vermis Mysteriis,(2012),High On Fire,Sludge,8.14,158
56.,Lifesblood For The Downtrodden,(2005),Crowbar,Sludge,8.14,35
57.,Entering Darkness,(2010),Eibon,Sludge,8.13,23
58.,Bullhead,(1991),Melvins,Sludge,8.13,23
59.,Sole Creation,(2013),Kongh,Sludge,8.11,45
60.,Remission,(2002),Mastodon,Sludge,8.10,426
61.,Heliocentric,(2010),The Ocean,Sludge,8.10,132
62.,Prehistoricisms,(2008),Intronaut,Sludge,8.09,53
63.,Inevitable Collapse In The Presence Of Conviction,(2008),Soilent Green,Sludge,8.09,23
64.,Exile,(2015),Regarde Les Hommes Tomber,Sludge,8.09,33
65.,Grengus,(2012),Horn Of The Rhino,Sludge,8.08,24
66.,A Cosmic Chapter With Gaia,(2010),What Mad Universe,Sludge,8.08,24
67.,The Direction Of Last Things,(2015),Intronaut,Sludge,8.07,87
68.,Take As Needed For Pain,(1993),Eyehategod,Sludge,8.07,44
69.,Broken Glass,(1996),Crowbar,Sludge,8.07,43
70.,Down III: Over The Under,(2007),Down,Sludge,8.05,191
71.,The Beyond,(2003),Cult Of Luna,Sludge,8.04,75
72.,N.V. [Collaboration],(2015),Dragged Into Sunlight,Sludge,8.03,39
73.,Snakes For The Divine,(2010),High On Fire,Sludge,8.01,179
